Topic,Label,Probability
17,"energi, climat, climat_chang, chang, energi_climat, treasuri, carbon",0.10460066616844142
10,"food_rural, food, rural, environ_food, environ, commun_local, hous",0.09606949259503088
12,"health, social_care, public, reform, wale, fund, support",0.07865723753779125
5,"educat, industri, innovat, european, union, futur, emission",0.07406525000448265
11,"defenc, plan, power, welfar, peopl, social, care",0.07112097764805372
3,"home, secur, price, topic, strategi, investment, energi_climat",0.059349595753101794
8,"european_union, trade, commun, right, council, withdraw, carbon",0.05445141014931064
4,"foreign_commonwealth, commonwealth, scotland, foreign, eu, commonwealth_office, leav",0.05264762860384328
2,"forc, polici, uk, review, flood, crime, carbon",0.04972467902363195
6,"northern_ireland, rail, london, tax, bank, high, financi",0.0451983793964122
1,"internat, polic, armed, develop, fund, topic, carbon",0.042862143926204445
16,"child, poverti, pension, fuel, work, east, support",0.041694059352076186
18,"skill, servic, children, office, financi, opposit, support",0.04086740855629151
15,"resolut, situat, econom_situat, econom, resolut_econom, law, carbon",0.03716302831153469
19,"local, school, fund, region, transport, commun, hous",0.033289533925053884
7,"nhs, internat_develop, new, carbon, topic, plan, fund",0.032893092301034085
20,"industrial, nation, region, carbon, strategi, opposit, support",0.02908969486606844
14,"sport, cultur, media, media_sport, european, topic, council",0.021321965629153644
9,"economi, work_pension, women, work, support, topic, pension",0.019672288533365587
13,"northern, ireland, region, opposit, support, carbon, secur",0.015261467719080142
