Topic,Label,Proportion
3,"aw_lot, â_œwell, â_œwhat, maiden_speech, ask_â, œwhat, thing_go",0.11334715147406071
18,"environment_audit, audit_committe, day_debat, committe_recommend, report_govern, committe_report, member_committe",0.08701471052489275
12,"gentleman_mention, gentleman_said, sever_hon, gentleman_also, gentleman_right, gentleman_made, gentleman_ask",0.07298244682259067
2,"sustain_develop, public_consult, plan_process, environment_impact, impact_assess, plan_system, landscap",0.07160668533939336
5,"committe_climat, pari, tackl_climat, climat, climat_chang, planet, temperatur",0.06702439874983754
6,"bill_hon, measur_bill, bill_provid, welcom_bill, part_bill, member_bill, privat_member",0.06469654847832645
17,"friend_awar, friend_refer, friend_mention, contribut_hon, friend_also, member_st, friend_know",0.06253190296281477
13,"innovat_skill, busi_innovat, innovat, industri_strategi, world-class, depart_busi, creat_job",0.04447761468462346
9,"environ_agenci, district_council, plan_author, local_resid, new_hous, local_economi, coastal",0.04407286612231727
7,"fossil_fuel, fossil, solar, energi_secur, grid, power_station, electr_generat",0.041035165740754324
19,"household, poverti, low-incom, poorest, vulner_peopl, peopl_access, aid",0.04085473569636721
1,"pension_fund, bank_england, monetari, treasuri_committe, balanc_sheet, bust, taxat",0.03929430642242256
11,"livestock, meat, crop, agricultur_polici, agricultur, food, common_agricultur",0.038766103328038454
14,"leav_eu, presid, european_council, multilater, foreign_polici, eu, summit",0.037269109267484425
10,"cent_per, rate_per, per_cent, cent, target_per, pre-budget, increas_per",0.03335806621251515
15,"shoot, illeg, law_enforc, antisoci, antisoci_behaviour, crimin_offenc, irish",0.0315110698667135
8,"marin, ocean, sea, maritim, foreign_polici, island, territori",0.02930206521696531
4,"plastic, pollut, bag, bottl, recycl, landfil, wast",0.029289114306034397
16,"west_midland, tunnel, midland, freight, main_line, depart_transport, lane",0.025912511561603582
20,"apprenticeship, primari_school, state_educat, child, secondari_school, child_care, free_school",0.0256534272222464
